6429,20377
4390,25182
1471,16487
9258,21720
1224,23905
11638,21598
11729,21683
11129,23945
11464,21573
10186,17030
3704,15758
5522,18525
13673,21508
13738,21548
3992,23934
3031,17811
1836,19184
14937,15875
14788,15752
3076,26615
4800,23920
1389,17224
5838,21636
12897,18335
8502,25176
3630,21912
7000,27741
8862,27620
8110,17055
3474,17056
3833,21524
228,24000
6271,17033
11626,27903
13898,21836
3546,27752
12153,25222
7893,18330
4020,29215
266,17883
1185,26697
14980,17801
7512,22071
13231,26605
13236,17023
13274,18422
1610,21909
13064,17014
5883,15748
12748,25193
12616,26603
13639,21972
8350,24105
8459,25262
8421,18372
10420,21620
10482,25460
9664,23979
10296,27672
9583,26640
10217,29261
14602,27849
9582,18370
7720,27680
6453,27681
8767,15435
6473,17225
2654,15768
11243,17086
4529,18401
14179,16506
4615,20385
850,27758
6529,17010
1055,26612
5059,27720
2781,25230
14957,27721
14970,27774
14805,17842
2417,15772
4054,29242
4316,29262
2597,21684
2099,21740
2255,27669
14656,18559
10467,17836
3221,17036
607,21427
6480,18417
6507,25231
6396,18589
980,17096
11216,26661
10621,18636
10588,25232
10635,15804
6635,16502
10774,27770
3178,20429
10637,29294
7876,17129
3337,23955
7919,21609
7520,18602
9190,17048
9743,20455
9709,17035
9714,25220
8945,17818
8897,21774
5568,26668
13517,26727
1440,27840
5350,20408
3141,12951
11800,17131
11913,18515
3086,15190
3514,25566
10702,25450
6567,27649
10848,17820
11348,18561
10652,17824
10416,21461
6704,20450
10493,24264
10453,29243
12268,25225
11654,22140
12046,23961
8530,15161
8784,21697
7606,21815
8054,21695
7917,26698
9181,21796
4066,29293
4506,18617
4621,29245
4776,21689
4205,24028
4135,25305
4351,17049
5406,27777
13482,27806
12866,17081
14143,27759
5334,27760
5338,29249
14199,21776
14190,23973
12818,15795
14646,25363
2772,21800
255,24068
1526,21641
2153,15449
2355,20451
1453,29251
2410,25394
2705,21766
2308,26624
1414,27785
21768,2725
21768,27765
2657,18317
1304,16503
27765,2725
27765,21768
618,29296
1575,27784
14781,21772
356,18476
11741,29265
8939,20463
7399,18518
26633,6117
4464,23897
509,29583
11449,16545
21881,1211
14747,15932
4492,20440
1211,21881
462,26341
12425,25427
13948,22142
7286,20466
15617,10374
7355,27851
14205,18497
29265,11741
10719,20469
860,7412
3878,24025
29,29330
104,21516
13637,18642
7960,17166
3296,15825
10470,15438
13397,27891
10397,26690
10374,15617
10289,20468
6641,24029
13471,24639
3684,21417
3233,15788
3244,27611
7806,29196
6657,16047
1459,20467
8234,16518
7678,19038
6356,17371
13002,29328
11268,26055
4342,17222
6377,27868
3997,29252
6499,25471
13160,17169
8015,27599
907,25315
22,18718
10136,22362
3377,16532
4147,20559
13337,21954
5871,27862
1518,27910
1383,25417
1522,18824
1527,23882
11072,24126
6344,18840
11257,25410
11343,20541
10541,15823
824,20518
10631,18845
6822,21834
687,18491
26805,11976
10695,17153
9987,29348
549,27182
12279,27936
5983,24099
12510,21958
9757,24067
6296,24005
11976,26805
11802,26094
5095,26824
2338,21893
4345,21854
2528,3911
4411,23873
2478,17848
2241,21435
191,27659
7375,18720
3553,22013
7529,21904
97,29462
3707,18814
3229,21433
4152,19513
8170,21929
2656,27213
4177,22025
2985,24061
2996,17159
8084,26680
7485,27845
8094,18742
14431,23116
13605,17207
3357,26057
13449,18827
8766,22308
3509,15826
14910,27874
334,26682
5138,21901
3487,21934
9407,15458
8892,29414
9090,25900
8235,18997
8017,15842
15458,9407
11993,18706
12175,21499
12195,20602
12346,18918
10832,17134
11206,20902
11223,21999
11384,20681
11513,18921
10959,25615
10986,20478
14427,18879
14340,15871
14110,16561
13215,25495
12956,29318
13652,27974
672,23130
621,18896
736,25148
1799,20691
7480,24164
3165,27928
3165,4864
3134,25478
3108,24095
7089,21885
4626,26754
3853,15683
4697,26785
4405,20537
4413,22227
6934,20183
1353,18290
3547,27255
6308,18975
2501,25700
2509,27053
2313,25625
274,3601
2380,27969
6231,22127
6632,20576
7220,24641
335,28044
3768,27917
3768,8413
3768,19
7004,26306
2424,26745
4051,22293
9615,29415
3848,17187
3304,28418
3087,20577
3129,20573
3177,16057
9139,17626
2899,15886
5801,27949
5961,16004
5922,24150
5932,22063
13056,26132
5602,22102
13617,24148
13695,15895
13359,25482
11296,22111
11326,22298
6336,22919
11586,16386
11195,24125
10861,18910
6536,15858
10936,28323
6464,29405
6169,6313
6169,15685
6169,23871
11944,18964
6651,20604
10561,18905
6232,16974
6225,27893
11873,17921
11837,27156
6643,27168
4268,15693
6877,27357
4449,24720
14404,28904
10214,19085
5447,22027
5394,29551
14109,29768
4961,20542
14767,29629
6844,18830
1597,25479
1430,27593
1716,29899
7561,15206
1909,28524
8124,24155
8238,22335
8386,27113
27917,3768
27917,8413
27917,19
695,5384
23871,6313
23871,6169
23871,15685
7210,26304
7624,24147
7756,19643
179,16162
23431,18325
23431,22162
29908,13912
29908,24122
590,18958
11295,25162
531,16573
13949,16637
508,22353
693,29454
29985,7726
5027,13556
5027,23877
11076,15332
14750,20758
14728,18012
14722,17614
14582,24261
157,22877
5818,28425
5941,17598
6002,15200
6006,23341
12739,16684
12317,15466
13717,25415
13711,26801
449,17458
6351,17638
5542,24256
13556,23877
6233,24281
13394,19538
19209,11234
23880,8781
23877,13556
1943,20824
2250,16086
2474,18959
3093,28683
26038,28749
935,17905
963,24952
4929,22800
26595,24846
4688,22852
4850,18994
3903,29431
4069,23292
3767,22744
1253,18002
4215,29831
1371,22394
6802,16158
9481,29682
8266,28540
9262,20025
9263,24176
10392,24218
9382,20884
7972,25492
9093,15732
7362,20944
7322,15427
8941,29419
10292,24241
8150,27986
9016,23501
9718,16350
2181,18831
17397,8858
6234,20825
4976,20083
4941,22112
11874,27211
12747,20961
646,16726
13331,28307
13030,23319
28177,25972
12496,25923
12898,20584
7526,24244
8928,18884
348,19143
13124,19051
4810,16276
4827,25776
12233,29769
8023,20872
4322,28729
2110,26813
12563,22806
7055,16871
5240,25612
1135,22585
3657,17191
11321,27997
11330,21061
9254,24442
10902,28298
10210,22289
19114,7366
9592,23223
9169,24615
